statement,cluster,score
s26,0,22.3623
s0,0,25.2222
s3,0,35.1920
s18,1,47.1051
s4,1,52.0288
s5,1,52.0288
s1,1,52.7287
s2,1,52.7287
s20,1,54.0104
s27,1,65.6905
s16,2,98.4442
s22,2,98.4442
s6,2,98.4442
s7,2,98.4442
s11,3,292.8933
s8,3,302.4008
s19,3,314.3503
s21,3,314.3503
s34,4,705.5903
s36,4,723.6452
s35,5,776.5389
s12,5,785.8045
s13,5,785.8045
s10,5,787.7082
s9,5,787.7082
s31,6,817.0884
s32,7,986.9225
s14,7,992.7560
s15,7,992.7560
s17,7,992.7560
s23,7,992.7560
s24,7,996.8546
s25,7,996.8546
s29,7,996.8546
s33,7,996.8546
s30,8,1127.3461
s28,9,1466.6104
